type,length_of_arr,no_compares,no_swaps,time
merge,2100,21889,20549,0.04269003868103027
quick,2100,15687,28197,0.03277468681335449
dual_quick,2100,13942,22178,0.030501365661621094
hybrid,2100,24441,24067,0.037079811096191406
insert,2100,1098578,1098572,1.295436143875122
merge,2100,21965,20480,0.03848099708557129
quick,2100,15982,26137,0.030287981033325195
dual_quick,2100,13080,22147,0.029065847396850586
hybrid,2100,24865,24407,0.03554511070251465
insert,2100,1081576,1081567,1.2863681316375732
merge,2100,21933,20523,0.03765273094177246
quick,2100,16995,26989,0.03188276290893555
dual_quick,2100,14073,23233,0.02907872200012207
hybrid,2100,24830,24389,0.035794973373413086
insert,2100,1101642,1101632,1.3000729084014893
merge,2100,21906,20524,0.03792858123779297
quick,2100,16835,26950,0.031733036041259766
dual_quick,2100,14768,22458,0.029847383499145508
hybrid,2100,24612,24148,0.0343775749206543
insert,2100,1094077,1094070,1.3315258026123047
merge,2100,21903,20515,0.037529945373535156
quick,2100,16846,26017,0.03429865837097168
dual_quick,2100,14212,21761,0.027887582778930664
hybrid,2100,24756,24317,0.035414934158325195
insert,2200,1215373,1215371,1.5104100704193115
merge,2200,23210,21615,0.04364323616027832
quick,2200,18183,28709,0.034250497817993164
dual_quick,2200,14481,23478,0.030853271484375
hybrid,2200,26219,25760,0.03758835792541504
insert,2200,1213094,1213087,1.4104726314544678
merge,2200,23241,21722,0.04076743125915527
quick,2200,19002,30299,0.039740562438964844
dual_quick,2200,15370,24293,0.031234264373779297
hybrid,2200,26057,25636,0.0360102653503418
insert,2200,1199171,1199165,1.469484806060791
merge,2200,23216,21701,0.04056191444396973
quick,2200,17781,27730,0.03479266166687012
dual_quick,2200,16105,24238,0.03102874755859375
hybrid,2200,26297,25867,0.03735065460205078
insert,2200,1214407,1214400,1.4695117473602295
merge,2200,23221,21640,0.04160118103027344
quick,2200,18083,28465,0.03419685363769531
dual_quick,2200,13759,24670,0.030048131942749023
hybrid,2200,26256,25798,0.03742074966430664
insert,2200,1220655,1220649,1.5560765266418457
merge,2200,23266,21684,0.04688262939453125
quick,2200,20602,29808,0.03860926628112793
dual_quick,2200,17133,24506,0.03372311592102051
hybrid,2200,26432,25980,0.0365145206451416
insert,2300,1324655,1324647,1.5653233528137207
merge,2300,24503,22825,0.04366755485534668
quick,2300,17646,30188,0.035535573959350586
dual_quick,2300,15570,24518,0.031966447830200195
hybrid,2300,28300,27870,0.03976607322692871
insert,2300,1316209,1316205,1.5539848804473877
merge,2300,24489,22844,0.04456281661987305
quick,2300,17737,29657,0.045165300369262695
dual_quick,2300,16238,25948,0.032683372497558594
hybrid,2300,27854,27444,0.03690910339355469
insert,2300,1338214,1338205,1.5925183296203613
merge,2300,24542,22820,0.04138970375061035
quick,2300,18678,30588,0.03719353675842285
dual_quick,2300,15872,24648,0.030297040939331055
hybrid,2300,28118,27665,0.03908061981201172
insert,2300,1334312,1334303,1.5801281929016113
merge,2300,24526,22825,0.041693925857543945
quick,2300,19503,29001,0.0356597900390625
dual_quick,2300,16285,25276,0.0330657958984375
hybrid,2300,27878,27420,0.03864145278930664
insert,2300,1283577,1283565,1.5027048587799072
merge,2300,24502,22840,0.04253697395324707
quick,2300,19128,31806,0.03600907325744629
dual_quick,2300,16644,24942,0.03310370445251465
hybrid,2300,27836,27382,0.038381338119506836
insert,2400,1455965,1455955,1.8890058994293213
merge,2400,25764,23934,0.04297161102294922
quick,2400,21079,31461,0.03623557090759277
dual_quick,2400,17180,27066,0.033597707748413086
hybrid,2400,29702,29227,0.040228843688964844
insert,2400,1462033,1462024,1.6598436832427979
merge,2400,25773,24012,0.04297161102294922
quick,2400,17725,30165,0.03278017044067383
dual_quick,2400,17798,27458,0.033667564392089844
hybrid,2400,29665,29255,0.03861594200134277
insert,2400,1463718,1463710,1.7582130432128906
merge,2400,25758,23996,0.042580604553222656
quick,2400,22513,32510,0.03883790969848633
dual_quick,2400,16859,26434,0.033865928649902344
hybrid,2400,29639,29159,0.04032278060913086
insert,2400,1454418,1454412,1.693375825881958
merge,2400,25772,23962,0.042456865310668945
quick,2400,18927,31891,0.03595900535583496
dual_quick,2400,16946,26113,0.033036231994628906
hybrid,2400,29569,29131,0.0401005744934082
insert,2400,1497988,1497972,1.8046762943267822
merge,2400,25826,23937,0.04577374458312988
quick,2400,18680,30936,0.036620140075683594
dual_quick,2400,17884,25617,0.03437685966491699
hybrid,2400,29883,29378,0.04749703407287598
insert,2500,1508823,1508817,1.8445074558258057
merge,2500,27026,25107,0.04536294937133789
quick,2500,23144,34492,0.06731843948364258
dual_quick,2500,18341,27995,0.0648193359375
hybrid,2500,31348,30929,0.06312298774719238
insert,2500,1561781,1561771,2.0158605575561523
merge,2500,27056,25124,0.04610085487365723
quick,2500,24731,34418,0.04238629341125488
dual_quick,2500,17789,30217,0.038097381591796875
hybrid,2500,31388,30885,0.042765140533447266
